name;year;nationality;rider_url;rider_rank_season_recherchiert
Aleksandr Vlasov;2020;RU;aleksandr-vlasov;13.0
Aleksandr Vlasov;2021;RU;aleksandr-vlasov;41.0
Alexey Lutsenko;2013;KZ;aleksey-lutsenko;720.0
Alexey Lutsenko;2014;KZ;aleksey-lutsenko;200.0
Alexey Lutsenko;2016;KZ;aleksey-lutsenko;93.0
Alexey Lutsenko;2017;KZ;aleksey-lutsenko;88.0
Alexey Lutsenko;2018;KZ;aleksey-lutsenko;50.0
Alexey Lutsenko;2019;KZ;aleksey-lutsenko;22.0
Alexey Lutsenko;2020;KZ;aleksey-lutsenko;64.0
Alexey Lutsenko;2021;KZ;aleksey-lutsenko;42.0
Andrey Kashechkin;2005;KZ;andrey-kashechkin;117.0
Andrey Kashechkin;2007;KZ;andrey-kashechkin;93.0
Andrey Kashechkin;2010;KZ;andrey-kashechkin;495.0
Andrey Kashechkin;2011;KZ;andrey-kashechkin;1023.0
Assan Bazayev;2006;KZ;assan-bazayev;551.0
Assan Bazayev;2007;KZ;assan-bazayev;307.0
Assan Bazayev;2008;KZ;assan-bazayev;221.0
Assan Bazayev;2009;KZ;assan-bazayev;192.0
Assan Bazayev;2010;KZ;assan-bazayev;265.0
Biniam Girmay;2022;ER;biniam-girmay;24.0
Biniam Girmay;2023;ER;biniam-girmay;114.0
Chris Barton;2011;US;chris-barton;9999.0
David Zabriskie;2005;US;david-zabriskie;9999.0
Denis Menchov;2005;RU;denis-menchov;19.0
Denis Menchov;2006;RU;denis-menchov;48.0
Denis Menchov;2008;RU;denis-menchov;22.0
Denis Menchov;2010;RU;denis-menchov;104.0
Denis Menchov;2011;RU;denis-menchov;43.0
Domingos Gonçalves;2019;PT;domingos-goncalves;9999.0
Filippo Fiorelli;2020;IT;filippo-fiorelli;373.0
Filippo Fiorelli;2021;IT;filippo-fiorelli;241.0
Filippo Fiorelli;2022;IT;filippo-fiorelli;245.0
Filippo Fiorelli;2023;IT;filippo-fiorelli;254.0
Filippo Fiorelli;2024;IT;filippo-fiorelli;419.0
Francesco Tomei;2009;IT;francesco-tomei;9999.0
Franck Bouyer;2009;FR;franck-bouyer;9999.0
Frederik Willems;2011;BE;frederik-willems;9999.0
Gang Xu;2015;CN;gang-xu;9999.0
Giorgio Cecchinel;2014;IT;giorgio-cecchinel;9999.0
Giovanni Bernaudeau;2009;FR;giovanni-bernaudeau;9999.0
Gotzon Martín;2022;ES;gotzon-martin;508.0
Gotzon Martín;2024;ES;gotzon-martin;674.0
Héctor Sáez;2020;ES;hector-saez;9999.0
Jack Bobridge;2012;AU;jack-bobridge;9999.0
Jérôme Cousin;2020;FR;jerome-cousin;9999.0
Lance Armstrong;2005;US;lance-armstrong;9999.0
Lance Armstrong;2009;US;lance-armstrong;9999.0
Lance Armstrong;2010;US;lance-armstrong;9999.0
Leonardo Bertagnolli;2006;IT;leonardo-bertagnolli;9999.0
Leonardo Bertagnolli;2010;IT;leonardo-bertagnolli;9999.0
Manabu Ishibashi;2015;JP;manabu-ishibashi;9999.0
Martin Salmon;2020;DE;martin-salmon;9999.0
Maxim Iglinskiy;2005;KZ;maxim-iglinskiy;219.0
Maxim Iglinskiy;2006;KZ;maxim-iglinskiy;435.0
Maxim Iglinskiy;2007;KZ;maxim-iglinskiy;362.0
Maxim Iglinskiy;2008;KZ;maxim-iglinskiy;265.0
Maxim Iglinskiy;2009;KZ;maxim-iglinskiy;184.0
Maxim Iglinskiy;2011;KZ;maxim-iglinskiy;653.0
Maxim Iglinskiy;2013;KZ;maxim-iglinskiy;125.0
Maxim Iglinskiy;2014;KZ;maxim-iglinskiy;332.0
Merhawi Kudus;2014;ER;merhawi-kudus;262.0
Merhawi Kudus;2015;ER;merhawi-kudus;410.0
Merhawi Kudus;2016;ER;merhawi-kudus;307.0
Merhawi Kudus;2017;ER;merhawi-kudus;189.0
Merhawi Kudus;2018;ER;merhawi-kudus;277.0
Michael Boogerd;2005;NL;michael-boogerd;9999.0
Natnael Berhane;2014;ER;natnael-berhane;285.0
Natnael Berhane;2015;ER;natnael-berhane;208.0
Natnael Berhane;2016;ER;natnael-berhane;380.0
Nic Dlamini;2020;ZA;nickolas-dlamini;9999.0
Peter Kennaugh;2012;GB;peter-kennaugh;9999.0
Ramón Carretero;2014;PA;ramon-carretero;9999.0
Robert Stannard;2020;AU;robert-stannard;9999.0
Robert Stannard;2021;AU;robert-stannard;9999.0
Sebastian Lander;2013;DK;sebastian-lander;9999.0
Serafín Martínez;2007;ES;serafin-martinez;9999.0
William Bonnet;2020;FR;william-bonnet;9999.0
Yukiya Arashiro;2009;JP;yukiya-arashiro;322.0
Yukiya Arashiro;2010;JP;yukiya-arashiro;171.0
Yukiya Arashiro;2012;JP;yukiya-arashiro;245.0
Yukiya Arashiro;2013;JP;yukiya-arashiro;314.0
Yukiya Arashiro;2014;JP;yukiya-arashiro;398.0
Yukiya Arashiro;2015;JP;yukiya-arashiro;282.0
Yukiya Arashiro;2016;JP;yukiya-arashiro;255.0
Yukiya Arashiro;2017;JP;yukiya-arashiro;346.0
Yukiya Arashiro;2019;JP;yukiya-arashiro;848.0
Yukiya Arashiro;2020;JP;yukiya-arashiro;492.0
Yukiya Arashiro;2021;JP;yukiya-arashiro;509.0
Yukiya Arashiro;2023;JP;yukiya-arashiro;390.0
